City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
202,Port Macquarie,AU,2020-09-04 18:37:38,-31.43,152.92,63.0,88,52,5.1
203,Jumla,NP,2020-09-04 18:37:39,29.27,82.18,60.62,68,97,1.19
204,Lichuan,CN,2020-09-04 18:37:39,30.3,108.85,57.6,94,31,1.9
205,Ozinki,RU,2020-09-04 18:37:39,51.18,49.68,57.99,50,50,10.78
206,Kahului,US,2020-09-04 18:35:41,20.89,-156.47,80.6,57,20,3.36
207,Pak Phanang,TH,2020-09-04 18:37:39,8.35,100.2,81.0,79,77,7.92
208,Itaunja,IN,2020-09-04 18:37:40,27.08,80.92,84.2,89,75,2.66
209,Hohhot,CN,2020-09-04 18:37:40,40.81,111.65,51.8,81,0,4.47
210,Tabou,CI,2020-09-04 18:35:10,4.42,-7.35,75.96,87,45,10.69
211,Touros,BR,2020-09-04 18:34:01,-5.2,-35.46,80.6,74,75,17.22
212,Caboolture,AU,2020-09-04 18:37:40,-27.08,152.95,57.99,95,100,2.21
213,Marsh Harbour,BS,2020-09-04 18:35:21,26.54,-77.06,85.6,70,9,10.31
214,Shimoda,JP,2020-09-04 18:37:41,34.67,138.95,72.0,90,4,4.5
215,Naze,JP,2020-09-04 18:35:05,28.37,129.48,80.6,94,75,14.99
216,Visby,SE,2020-09-04 18:37:01,57.64,18.3,64.0,82,100,9.17
217,Srednekolymsk,RU,2020-09-04 18:37:41,67.45,153.68,31.96,95,0,7.87
218,Lompoc,US,2020-09-04 18:37:41,34.64,-120.46,71.6,72,1,6.93
219,Mendoza,AR,2020-09-04 18:33:00,-32.89,-68.83,60.8,25,0,2.24
220,Monrovia,LR,2020-09-04 18:37:42,6.3,-10.8,80.6,83,75,11.41
221,Rapid Valley,US,2020-09-04 18:37:42,44.06,-103.15,82.99,19,1,5.82
222,Anloga,GH,2020-09-04 18:37:42,5.79,0.9,78.8,83,20,13.87
223,Mugur-Aksy,RU,2020-09-04 18:37:42,50.35,90.5,45.19,69,78,5.99
224,Jinchang,CN,2020-09-04 18:37:42,38.5,102.17,71.28,21,100,5.17
225,Redmond,US,2020-09-04 18:35:27,47.67,-122.12,78.01,63,0,3.56
226,Anshun,CN,2020-09-04 18:37:43,26.25,105.93,65.05,99,72,4.68
227,Sartana,UA,2020-09-04 18:37:43,47.17,37.7,80.01,100,100,25.01
228,Longyearbyen,SJ,2020-09-04 18:37:43,78.22,15.64,48.2,87,75,9.17
229,Rozkishne,UA,2020-09-04 18:37:44,48.5,37.59,74.48,23,100,15.23
230,Bambous Virieux,MU,2020-09-04 18:37:44,-20.34,57.76,68.0,72,75,14.99
231,Nampula,MZ,2020-09-04 18:37:44,-15.12,39.27,71.01,68,40,12.75
232,Hopkinsville,US,2020-09-04 18:37:44,36.87,-87.49,78.01,55,100,4.0
233,Copiapo,CL,2020-09-04 18:37:44,-27.37,-70.33,60.8,59,20,11.41
234,Saint-Philippe,RE,2020-09-04 18:37:45,-21.36,55.77,69.8,73,75,10.29
235,Qianjiang,CN,2020-09-04 18:37:45,30.42,112.89,66.47,96,16,4.43
236,Margate,GB,2020-09-04 18:37:45,51.38,1.39,64.0,68,100,9.55
237,Haines Junction,CA,2020-09-04 18:37:45,60.75,-137.51,48.38,55,100,4.23
238,Kirakira,SB,2020-09-04 18:37:46,-10.45,161.92,77.45,84,100,11.05
239,Vardo,NO,2020-09-04 18:37:26,70.37,31.11,53.6,87,75,16.11
240,Carutapera,BR,2020-09-04 18:37:46,-1.2,-46.02,83.73,69,0,9.26
241,Bogorodskoye,RU,2020-09-04 18:37:46,56.55,37.88,59.52,60,100,10.36
242,Hithadhoo,MV,2020-09-04 18:37:46,-0.6,73.08,82.6,76,46,15.7
243,Airai,TL,2020-09-04 18:37:47,-8.93,125.41,57.31,55,0,3.24
244,Aklavik,CA,2020-09-04 18:37:47,68.22,-135.01,48.2,81,75,5.82
245,Khash,IR,2020-09-04 18:37:47,28.22,61.22,69.15,22,8,6.8
246,Dongli,CN,2020-09-04 18:37:47,23.57,116.82,77.0,94,40,2.24
247,Ngunguru,NZ,2020-09-04 18:37:47,-35.62,174.5,39.99,3,0,3.0
248,Bubaque,GW,2020-09-04 18:37:48,11.28,-15.83,79.9,81,36,11.63
249,Mehamn,NO,2020-09-04 18:37:48,71.04,27.85,59.0,77,75,14.99
250,Henties Bay,NA,2020-09-04 18:37:48,-22.12,14.28,57.0,87,9,5.01
251,Alpena,US,2020-09-04 18:37:48,45.06,-83.43,66.2,42,40,11.41
