City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
316,Puerto Cabezas,NI,84.2,14.04,-83.39,Hotel Caribe
317,Marienburg,PL,60.01,54.04,19.03,Hotel Centrum Malbork
320,Santa Rosa,PH,80.6,14.31,121.11,Erlyn’s Sta Rosa City Home
321,Sao Filipe,CV,80.47,14.9,-24.5,Tortuga B&B
322,Le Port,RE,69.8,-20.94,55.29,Villa Maido
323,Sur,OM,80.58,22.57,59.53,Sur Plaza Hotel
324,Namibe,AO,63.97,-15.2,12.15,Hotel Chik Chik Namibe
325,Freeport,US,87.01,40.66,-73.58,The Freeport Inn and Marina
326,Santa Maria Del Oro,MX,81.95,25.93,-105.37,Hotel Palacio Del Sol
327,Honiara,SB,69.8,-9.43,159.95,Heritage Park Hotel
328,West Wendover,US,82.4,40.74,-114.07,"Motel 6 Wendover, UT"
329,Toamasina,MG,66.2,-18.17,49.38,Hotel H1
331,Nouadhibou,MR,78.8,20.93,-17.03,El Medina
332,Saint-Pierre,RE,69.8,-21.34,55.48,Lindsey Hôtel
333,La Tuque,CA,63.36,47.43,-72.78,The Gite du Parc
334,Batticaloa,LK,81.91,7.71,81.69,Grand Star Guest House
338,Quatre Cocos,MU,68.0,-20.21,57.76,Emeraude Beach Attitude Hotel
339,Hervey Bay,AU,61.0,-25.3,152.85,Shelly Bay Resort
341,Rockport,US,93.99,28.02,-97.05,Holiday Inn Express & Suites Rockport - Bay View
342,Byron Bay,AU,62.6,-28.65,153.62,Backpackers Inn on the Beach
343,Poso,ID,77.45,-1.4,120.75,Hotel 77 Poso
346,Hauterive,FR,84.2,46.09,3.45,Aletti Palace Hotel
347,Wau,SS,72.23,7.7,28.0,Universal Gab Hotel
348,Weiser,US,91.0,44.25,-116.97,The Colonial Motel
349,Noumea,NC,62.6,-22.28,166.46,Hôtel Le Lagon
350,Saint-Louis,SN,87.8,16.33,-15.0,
353,Posadas,AR,77.0,-27.37,-55.9,Hotel Posadas
354,Loa Janan,ID,74.41,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
357,Benguela,AO,70.14,-12.58,13.41,Hotel Praia Morena
358,Cabedelo,BR,82.4,-6.98,-34.83,Lua Mansa Pousada
360,Sechura,PE,74.84,-5.56,-80.82,Hospedaje Costa Bella
361,Piacenza,IT,77.0,45.05,9.7,Best Western Park Hotel
362,Itoman,JP,78.8,26.12,127.67,Southern Beach Hotel & Resort Okinawa
363,Port Blair,IN,82.89,11.67,92.75,Fortune Resort Bay Island
364,Auki,SB,76.51,-8.77,160.7,Auki Motel
366,Burgeo,CA,63.34,47.62,-57.62,Gillett's Motel
368,Cordoba,AR,71.01,-31.41,-64.18,Sheraton Cordoba Hotel
369,Sheridan,US,84.2,44.83,-106.92,Best Western Sheridan Center
371,Cap Malheureux,MU,68.0,-19.98,57.61,Pereybere Hotel & Spa
373,Marystown,CA,70.0,47.17,-55.15,Marystown Hotel & Convention Centre
374,Taltal,CL,61.27,-25.4,-70.48,Residencial Karime
375,Dicabisagan,PH,77.27,17.08,122.42,Nancy Montanes Bernardo
378,Constantine,DZ,73.4,36.37,6.61,Grand Hotel Cirta
381,Arroyo,ES,87.01,41.61,-4.8,Hotel El Jardín de la Abadía
382,Quang Ngai,VN,78.13,15.12,108.8,Central Hotel
384,Bose,IT,73.99,45.46,8.01,Locanda Borgo Antico
389,Sembe,CG,72.54,1.65,14.58,
392,Pierre,US,84.99,44.37,-100.35,Ramkota Hotel
