City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
667,Ryotsu,38.08,138.43,80.6,69,0,1.12,clear sky
668,Axim,4.87,-2.24,78.31,74,42,11.05,scattered clouds
669,Fort Frances,48.6,-93.4,60.8,72,90,6.93,overcast clouds
670,Umm Lajj,25.02,37.27,90.05,58,1,4.68,clear sky
671,Verkhoyansk,67.54,133.38,47.5,76,100,6.6,overcast clouds
672,Carbonia,39.17,8.52,82.4,48,40,9.17,scattered clouds
673,Odweyne,9.41,45.06,80.01,48,89,10.69,overcast clouds
674,Macapa,0.04,-51.07,93.2,59,40,8.05,scattered clouds
675,Ossora,59.24,163.07,44.44,81,100,7.83,overcast clouds
676,Linhares,-19.39,-40.07,81.57,56,94,4.21,overcast clouds
677,Mikhaylovka,50.06,43.24,77.0,20,70,5.01,broken clouds
678,Araouane,18.9,-3.53,102.09,18,0,6.24,clear sky
679,Avera,33.19,-82.53,82.4,45,1,10.29,clear sky
680,Amberley,39.2,-84.43,79.0,64,1,3.36,clear sky
681,Conceicao Do Araguaia,-8.26,-49.26,105.03,15,1,4.61,clear sky
682,Kyaikto,17.3,97.02,80.11,88,100,4.61,heavy intensity rain
683,Porto Novo,6.5,2.6,82.4,78,40,16.11,scattered clouds
684,Pochutla,15.74,-96.47,80.6,74,90,2.13,overcast clouds
685,Poya,-21.35,165.15,67.15,82,99,4.21,overcast clouds
686,Kimbe,-5.55,150.14,75.34,87,100,3.67,overcast clouds
687,Diplo,24.47,69.58,87.55,67,0,15.93,clear sky
688,Ahipara,-35.17,173.17,56.01,90,90,9.78,overcast clouds
689,Koppal,15.35,76.15,82.62,67,63,8.79,broken clouds
